system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
squarographene,0.0373,1,90,90,90,3.6623,3.6623,10,0.4474,2.8,0.0685,12,12,1.249,2,1.5152,0.0037,0.0612,-0.0032,0,3.15,3,16,4/mmm,129,1141.243,33.7823,1,0.0032,0.0015,0.0521916683667019,-37.80173756,1,0,0,1296,0,0,0,-3.4738365,40,19.173473435,70
BC6N-Hex,0.0373,3,90,90,120,4.9774,4.9774,10,0.4521,2.71428571428571,0.0704,12.0784,12.125,1.3321,2,1.44,0.0006,0.0254,-0.0584,0.1462,3.1875,1,12,-6m2,120,0.7108,0.8431,1,0.0032,0.0016,0.0497166306763921,-70.19786347,1,0,0,2401,3,6.11596080715462,0,-8.745968123,150,-6.675880205,670
PAI-graphene,0.0371,1,90,90,90,8.9956,7.1915,10,0.4452,2.63829787234043,0.0682,12,12,1.583,1,1.4276,0.0005,0.0229,-0.0608,0,3.15,3,8,mmm,119,85.3305,9.2375,1,0.0032,0.0016,0.0483061232182756,-219.25516526,1,0,0,1296,0,0,0,-7.24440734,210,-6.651341336,1000
beta-β-C2As2,0.0478,2,90,90,60,3.1095,3.1095,10,2.078,2.86885245901639,0.2125,20.6897,43.5,0.8379,2,1.9375,0.0426,0.2063,0.0326,0,3.15,2,12,-3m,105,66.1234,8.1316,2,0.9793,0.607,0.0664304120910822,-25.95784773,2,1.70475556,1.7331,1185921,0,5.76282565917539,0,0,0,14.386127696,10
BC6N-Hex2,0.0373,3,90,90,120,4.9711,4.9778,10,0.4529,2.71428571428571,0.0705,12.0784,12.125,1.3132,3,1.4391,0.0009,0.0294,-0.0609,0.1334,3.1875,1,2,m,120,1.0566,1.0279,1,0.0032,0.0016,0.049798293478739,-71.30875795,1,0,0,2401,3,6.11596080715462,0,-8.917330227,210,-8.266724127,1000
Si2As2,0.0188,2,91,91,60,3.7326,3.7326,8.8112,0.9689,2.71428571428571,0.1203,40.7767,51.5,1.9955,1,2.3899,0,0,0.0391,0.33,2.985,1,2,m,103,0,0,2,0.9596,0.4846,0.0250850767855121,-9.44647193,1,1.23806779159095,0.2621,1185921,3,5.76282565917539,0,-12.425216047,40,11.977597983,120
net_W,0.0359,1,90,90,114,4.4346,5.487,10,0.4313,1.5,0.0661,12,12,1.2346,3,1.4429,0.0007,0.0268,-0.0507,0,3.15,3,1,1,126,113.3362,10.6459,1,0.0032,0.0016,0.0376285634982543,-71.28339593,2,0.000218036109728814,0,1296,0,0,0,-8.994768434,200,-8.305676285,1000
alpha-α-Si2Bi2,0.0275,2,90,90,60,4.0952,4.0952,10,3.2637,3,0.2659,49.384,118.5,2.1806,2,2.6293,0.0199,0.1411,0.04,0.1083,2.755,2,12,-6m2,104,71.5136,8.4566,2,0.9826,0.5894,0.0413123932258981,-18.75823569,1,4.8895596,3.6577,47458321,3,5.76282565917539,0,-5.379072411,40,7.522182504,120
Ge2As2,0.0157,2,90,90,60,3.8336,3.8336,10,1.1629,2.71428571428571,0.1123,73.9865,74,2.2017,1,2.4735,0,0,0.035,0.36,2.97,1,2,m,102,0,0,2,0.9679,0.4888,0.0209528058742953,-8.81238354,1,1.10440706,0.3049,1185921,3,5.76282565917539,0,0,0,164.370319992,10
alpha-α-Si2Sb2,0.0293,2,90,90,60,3.9733,3.9733,10,2.1942,3,0.2484,45.5467,75,2.0933,2,2.5562,0.0104,0.1018,0.042,0.1917,2.935,2,12,-6m2,104,65.1344,8.0706,2,0.9799,0.59,0.0438846519002074,-19.52870719,1,4.78321178,3.5376,6765201,3,5.76282565917539,0,-4.383096997,50,8.570573822,120
AlGD-REC,0.0121,2,90,90,90,16.2967,12.218,10,0.1597,2.08695652173913,0.0278,12.5825,13.25,6.036,4,1.4429,0.0695,0.2637,-0.1204,0.1543,3.0975,2,1,1,166,660.4361,25.699,1,0.0032,0.0013,0.0123045459773439,-188.66858405,1,0.0152117344700464,0,28561,3,2.38475436312892,0,-12.861647815,50,-3.065844573,440
C7N6,0.0326,2,90,90,60,6.7842,6.7842,10,0.4215,2.31372549019608,0.0549,12.8471,12.9231,1.7683,3,1.3759,0.0078,0.0885,-0.0707,0.3266,3.3392,5,2,m,124,300.7713,17.3428,1,0.0032,0.0015,0.0370055901316203,-109.99900494,2,0,0,2401,3,5.73820371042034,0,-1.379242224,100,2.258681089,220
